"[ 0.          1.60000041  3.20000051  4.80000222  6.39999617  8.00001058
  9.59999118 11.20000461 12.79999821 14.40000066 16.        ]","[0.         0.009935   0.01991923 0.02964656 0.04061267 0.04831139
 0.06141069 0.06925937 0.08028919 0.08989332 0.09999999]",0.800015627,image221308
"[ 0.          1.3         2.60000522  3.89998221  5.20002083  6.49997139
  7.80001714  9.09998871 10.40000212 11.69999981 12.99999999]","[0.         0.02000015 0.03966062 0.06115307 0.07864726 0.10185935
 0.11888419 0.14073449 0.15986124 0.18001167 0.19999999]",0.650076921,image2213010
"[0.         1.00001639 2.00005926 2.99989077 4.0003925  4.99953077
 6.00040059 6.99980771 8.00014143 8.99999889 9.99999999]","[ 0.          0.00591134  0.00734484  0.04071686 -0.0645169   0.13417093
 -0.06605755  0.09282729  0.01606462  0.04190511  0.04999999]",0.500016933,image2213011
"[ 0.          1.60000024  3.19999898  4.80000178  6.39999943  7.99999876
  9.60000377 11.19999843 12.80000153 14.4000004  15.99999999]","[0.         0.00492333 0.0103324  0.01443203 0.02017532 0.02541396
 0.02878487 0.03550134 0.03951592 0.04486496 0.04999999]",0.800003907,image2213012
"[0.         0.49999773 1.00000584 1.5000078  2.0000022  2.49999843
 2.99999146 3.49999605 4.00000087 4.5000005  4.99999999]","[ 0.         -0.02005659 -0.03985441 -0.0598027  -0.0799495  -0.1000341
 -0.12021645 -0.14009743 -0.15997838 -0.1799872  -0.20000001]",0.250199921,image2213013
"[ 0.          1.50009682  3.00011029  4.50086759  5.99727482  7.5033758
  8.99712003 10.50137051 11.99942827 13.49986334 14.99999997]","[ 0.         -0.01797133 -0.04289986 -0.00270993 -0.27129894  0.13974634
 -0.32314674 -0.04764696 -0.20284791 -0.18573364 -0.20000007]",0.750102233,image2213014
"[0.         0.7        1.4        2.1        2.79999999 3.5
 4.19999999 4.9        5.59999999 6.29999999 6.99999999]","[ 0.00000000e+00 -1.03449875e-05 -1.00601084e-04  1.24107706e-04
 -1.26773722e-04 -2.30012962e-05  8.53462658e-05 -9.49215005e-05
  4.73557037e-05 -5.10712546e-05 -6.64573847e-09]",0.35,image2213015
"[0.         0.90000044 1.7999934  2.70000881 3.59997337 4.50002616
 5.39997248 6.30001199 7.19999389 8.10000036 8.99999999]","[0.         0.04999204 0.10011862 0.1498415  0.2004793  0.24952893
 0.30049539 0.34978394 0.40011001 0.44999342 0.49999999]",0.450693909,image2213016
"[0.         0.99999889 1.9999976  3.0000012  3.9999944  5.00000361
 5.99999691 6.99999943 7.99999946 9.00000119 9.99999999]","[0.         0.01011029 0.02023899 0.02988107 0.04055625 0.0496433
 0.06030336 0.07006073 0.08005145 0.08988068 0.1       ]",0.500025,image2213017
"[ 0.          1.47999637  2.95998762  4.44000288  5.91999156  7.40000869
  8.87999419 10.36000046 11.8399979  13.31999873 14.79999999]","[0.         0.02026727 0.04090706 0.05979597 0.08060822 0.09936339
 0.12042484 0.13996538 0.16015393 0.18009298 0.2       ]",0.740067568,image2213018
"[0.         0.44999972 0.89999802 1.35000439 1.79999253 2.25000172
 2.70000674 3.14998612 3.60000827 4.0500012  4.49999999]","[0.         0.03000424 0.06002973 0.08993414 0.12011204 0.14997427
 0.17989882 0.21020816 0.23987589 0.26998188 0.29999999]",0.225499446,image2213019
"[ 0.          1.45999988  2.92000005  4.37999998  5.83999997  7.29999962
  8.76000016 10.22000003 11.67999973 13.14000016 14.59999982]","[0.         0.00503371 0.0099851  0.01500528 0.02000794 0.02511238
 0.02995195 0.03498908 0.04007701 0.04495275 0.04999994]",0.73000428,image2213023
"[0.         0.41999997 0.83999979 1.26000033 1.67999971 2.10000008
 2.5199999  2.93999999 3.35999983 3.77999999 4.19999999]","[0.         0.00500245 0.01001789 0.01497224 0.02002423 0.02499311
 0.03000773 0.03500079 0.04001351 0.04500015 0.04999999]",0.21001488,image2213026
"[ 0.          1.37999976  2.75999988  4.1400014   5.51999666  6.90000439
  8.27999732  9.66000162 11.03999846 12.41999973 13.8       ]","[ 0.         -0.00506717 -0.01003417 -0.01461284 -0.02092332 -0.02378516
 -0.03074258 -0.03455157 -0.04042455 -0.04507294 -0.05000001]",0.690004529,image2213027
"[ 0.          1.46000185  2.92000351  4.38000543  5.84000713  7.30000862
  8.76001157 10.22000438 11.68000738 13.14000286 14.6       ]","[0.         0.00039957 0.00108885 0.00159757 0.00124585 0.00401198
 0.00512883 0.01051816 0.01192338 0.01627935 0.02      ]",0.730000938,image2213032
"[ 0.          1.35999964  2.71999777  4.08000428  5.43999282  6.80000204
  8.15999908  9.51999634 10.88000052 12.23999956 13.59999999]","[0.         0.00317333 0.00698724 0.00711001 0.0150562  0.01429416
 0.01817959 0.02282517 0.02370941 0.02718725 0.03      ]",0.68000167,image2213033
"[ 0.          1.45000034  2.89999912  4.3500001   5.80000085  7.25000023
  8.69999964 10.15000053 11.59999964 13.0500005  14.49999999]","[ 0.         -0.002832   -0.00641768 -0.00894949 -0.01156439 -0.01489781
 -0.01815145 -0.02074755 -0.02416624 -0.02676418 -0.03000001]",0.7250015539512865,image2213038
"[ 0.          1.46999997  2.9400014   4.40999708  5.88001065  7.34998357
  8.82001596 10.2899921  11.76000475 13.23000412 14.7       ]","[ 0.          0.00143614  0.00135795  0.00542161 -0.00038568  0.01153416
  0.00568782  0.00714567  0.00389175  0.00624593  0.00999999]",0.735000333360789,image2213039
"[0.         0.39       0.78000001 1.16999999 1.56000001 1.94999994
 2.34000002 2.72999998 3.12000004 3.50999998 3.89999999]","[0.         0.00099891 0.00199422 0.00300267 0.00399488 0.00502275
 0.00598889 0.00700697 0.00798153 0.00900347 0.00999999]",0.1950006406065935,image2213044
"[ 0.          1.43000576  2.86002943  4.28993484  5.72009626  7.14995859
  8.58003277 10.00996993 11.44000417 12.86999773 14.29999998]","[0.         0.00920822 0.01563499 0.03948233 0.02489566 0.05711677
 0.05407561 0.07456663 0.07924724 0.09026221 0.10000001]",0.7150177034549687,image2213045
"[0.         0.41999984 0.84000227 1.25999718 1.68000432 2.09999822
 2.52000521 2.93999816 3.36000166 3.78000044 4.19999999]","[0.         0.05000137 0.09998093 0.15002365 0.19996364 0.25001493
 0.29995617 0.35001543 0.399986   0.44999623 0.49999999]",0.21148285939214312,image2213050
"[ 0.          1.52000041  3.0400025   4.55999656  6.08000716  7.60000307
  9.11999816 10.64000652 12.15999799 13.68000017 15.2       ]","[0.         0.00994136 0.01961982 0.03053041 0.03889175 0.04955084
 0.06026245 0.06902203 0.080298   0.08997344 0.09999999]",0.7600164488915254,image2213054
"[ 0.          1.51000006  3.01999997  4.52999975  6.04000002  7.55000029
  9.05999961 10.56999993 12.08000003 13.58999994 15.09999999]","[ 0.00000000e+00 -1.87816237e-04 -1.52314932e-03  3.97937547e-03
 -6.06220766e-03  7.80846497e-03 -5.02825826e-03  2.13397960e-03
 -1.33543533e-03 -2.41600289e-04 -7.67542077e-09]",0.7550000337157967,image2213055
"[ 0.          1.27999998  2.56000006  3.83999987  5.12000014  6.39999987
  7.68000004  8.95999999 10.23999998 11.51999999 12.79999999]","[ 0.00000000e+00 -2.36400927e-04  4.75685508e-05  2.48461773e-04
  5.67758142e-04 -8.37558974e-04  8.44110519e-04 -4.17803510e-04
 -3.25180639e-05  6.05277291e-05 -7.22723228e-09]",0.6400000017016532,image2213060
"[0.         0.47000148 0.9399996  1.40999907 1.88001947 2.35000367
 2.82001232 3.29000507 3.76000137 4.23000415 4.69999999]","[0.         0.01996535 0.04000876 0.06002351 0.07953884 0.09991664
 0.11970853 0.1398815  0.15996726 0.17990257 0.19999999]",0.2352126711515616,image2213063
"[ 0.          1.47000024  2.93999496  4.41001031  5.87998239  7.35001853
  8.81998326 10.29000489 11.75999184 13.2299988  14.69999999]","[0.         0.01998309 0.04037028 0.05924109 0.08129657 0.09863489
 0.12123502 0.13963585 0.16060222 0.18008771 0.19999999]",0.735068024173154,image2213064
"[ 0.          1.50000006  2.99999925  4.50000132  5.99999912  7.49999991
  9.0000027  10.49999807 12.00000065 13.50000005 14.99999999]","[0.         0.00999087 0.02011176 0.02979993 0.04013437 0.05000868
 0.05959768 0.07028742 0.07990196 0.08999143 0.09999999]",0.7500166664808404,image2213070
"[0.         0.46000003 0.92000027 1.37999913 1.84000119 2.29999966
 2.76000003 3.22000027 3.67999961 4.14000023 4.59999999]","[ 0.         -0.00999865 -0.01998732 -0.03004014 -0.03994529 -0.05001559
 -0.05999855 -0.06998752 -0.08001781 -0.08998901 -0.10000001]",0.23005434102025932,image2213071
"[ 0.          1.49000181  2.98001084  4.46998545  5.96002577  7.45000182
  8.93999374 10.43001098 11.91999983 13.41000174 14.89999999]","[0.         0.01482128 0.02891796 0.04644345 0.05743134 0.07481646
 0.09060991 0.10390824 0.12001127 0.13482481 0.14999999]",0.745037762038165,image2213076
"[ 0.          1.4499998   2.90000201  4.34999555  5.8000042   7.25000251
  8.69999199 10.15000689 11.59999787 13.04999969 14.49999999]","[0.         0.00506632 0.00942832 0.01624523 0.0189165  0.02412185
 0.03242501 0.03298833 0.04060958 0.04508205 0.04999999]",0.7250043232394913,image2213083
"[ 0.          1.48000982  2.96002828  4.43989506  5.92014065  7.39985253
  8.88007943 10.3599723  11.84002544 13.31999538 14.79999999]","[ 0.          0.00110404 -0.00936437  0.04702446 -0.05575111  0.09973398
 -0.05140784  0.06148873  0.0042589   0.02092219  0.02499999]",0.7400051174689284,image2213084
